"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valid login with admin credentials","6916","Valid Login","chromium","2026-03-14","passed","2026-03-14","Login Functionality","login.spec.ts","",""
"Valid login with admin credentials","4166","Valid Login","firefox","2026-03-14","passed","2026-03-14","Login Functionality","login.spec.ts","",""
